id,Time,3d_x0,3d_y0,3d_z0,3d_x1,3d_y1,3d_z1,3d_x2,3d_y2,3d_z2,3d_x3,3d_y3,3d_z3,3d_x4,3d_y4,3d_z4,3d_x5,3d_y5,3d_z5,3d_x6,3d_y6,3d_z6,3d_x7,3d_y7,3d_z7,3d_x8,3d_y8,3d_z8,3d_x9,3d_y9,3d_z9,3d_x10,3d_y10,3d_z10,3d_x11,3d_y11,3d_z11,3d_x12,3d_y12,3d_z12,3d_x13,3d_y13,3d_z13,3d_x14,3d_y14,3d_z14,3d_x15,3d_y15,3d_z15,3d_x16,3d_y16,3d_z16,3d_x17,3d_y17,3d_z17,3d_x18,3d_y18,3d_z18,3d_x19,3d_y19,3d_z19,3d_x20,3d_y20,3d_z20,3d_x21,3d_y21,3d_z21,3d_x22,3d_y22,3d_z22,3d_x23,3d_y23,3d_z23,3d_x24,3d_y24,3d_z24,3d_x25,3d_y25,3d_z25,3d_x26,3d_y26,3d_z26,3d_x27,3d_y27,3d_z27,3d_x28,3d_y28,3d_z28,3d_x29,3d_y29,3d_z29,3d_x30,3d_y30,3d_z30,3d_x31,3d_y31,3d_z31,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13,2021-07-26 15:58:01.8,-393.43300000000005,100.962,1240.05,-405.481,-63.2995,1221.28,-388.67699999999996,-193.7,1204.67,-323.949,-384.18,1189.79,-340.68,-357.42400000000004,1222.62,-358.12199999999996,-340.80800000000005,1353.25,-348.6,-189.00900000000001,1560.12,-138.57399999999998,-198.21099999999998,1607.54,-88.2493,-236.482,1670.85,-11.2351,-256.39,1732.11,-60.792,-236.035,1691.02,-330.444,-348.59,1161.57,-309.427,-305.423,1049.21,-242.04,-52.9726,1062.48,-85.6513,-74.2584,1213.2,-15.829,-88.2345,1278.08,70.9109,-88.5151,1325.15,-2.6965,-134.554,1279.66,-387.972,90.9681,1324.01,-50.2173,212.118,1422.05,-238.965,501.974,1339.98,-158.77200000000002,644.797,1281.06,-398.358,109.97399999999999,1164.35,-102.73299999999999,263.721,999.915,-254.111,547.283,1160.31,-200.378,694.7539999999999,1128.47,-288.309,-451.124,1186.75,-159.602,-462.086,1261.63,-195.93599999999998,-497.94800000000004,1271.56,-313.541,-501.66,1266.06,-169.00900000000001,-498.027,1231.13,-238.023,-515.493,1132.37,1.2897315,-5.7930236,8.032705,-1.19,-2.03,0.21000001
14,2021-07-26 15:58:02.2,-393.43300000000005,100.962,1240.05,-405.481,-63.2995,1221.28,-388.67699999999996,-193.7,1204.67,-323.949,-384.18,1189.79,-340.68,-357.42400000000004,1222.62,-358.12199999999996,-340.80800000000005,1353.25,-348.6,-189.00900000000001,1560.12,-138.57399999999998,-198.21099999999998,1607.54,-88.2493,-236.482,1670.85,-11.2351,-256.39,1732.11,-60.792,-236.035,1691.02,-330.444,-348.59,1161.57,-309.427,-305.423,1049.21,-242.04,-52.9726,1062.48,-85.6513,-74.2584,1213.2,-15.829,-88.2345,1278.08,70.9109,-88.5151,1325.15,-2.6965,-134.554,1279.66,-387.972,90.9681,1324.01,-50.2173,212.118,1422.05,-238.965,501.974,1339.98,-158.77200000000002,644.797,1281.06,-398.358,109.97399999999999,1164.35,-102.73299999999999,263.721,999.915,-254.111,547.283,1160.31,-200.378,694.7539999999999,1128.47,-288.309,-451.124,1186.75,-159.602,-462.086,1261.63,-195.93599999999998,-497.94800000000004,1271.56,-313.541,-501.66,1266.06,-169.00900000000001,-498.027,1231.13,-238.023,-515.493,1132.37,1.1844472,-5.6685967,8.118847,-1.96,-1.75,0.42000002
15,2021-07-26 15:58:02.1,-394.01199999999994,100.014,1239.03,-405.88,-63.9822,1219.05,-387.291,-193.89,1201.37,-323.814,-384.48400000000004,1184.85,-340.223,-357.88699999999994,1217.93,-355.23,-340.751,1348.68,-351.853,-191.50099999999998,1557.33,-142.356,-198.456,1606.64,-88.2739,-224.47299999999998,1672.9,-14.8405,-241.924,1738.98,-70.8675,-233.851,1703.28,-330.222,-348.685,1156.94,-307.42900000000003,-305.204,1045.15,-244.111,-51.9276,1058.56,-90.119,-72.0769,1211.63,-17.7946,-86.6305,1273.46,69.5331,-83.6831,1319.16,-3.2406599999999997,-133.306,1274.54,-388.463,89.4017,1322.84,-51.9877,212.487,1421.72,-240.47400000000002,502.25199999999995,1339.98,-158.814,644.581,1282.31,-399.01599999999996,109.584,1163.46,-104.92200000000001,264.60400000000004,998.1619999999999,-254.075,547.807,1160.62,-200.93900000000002,695.827,1131.05,-288.615,-451.56,1181.18,-157.92,-463.458,1252.13,-194.97,-497.60900000000004,1264.84,-312.658,-497.685,1263.39,-169.487,-500.34,1223.61,-242.31599999999997,-519.81,1128.15,1.3280165000000002,-5.6039900000000005,8.061419500000001,0.84000003,0.35,0.7
16,2021-07-26 15:58:02.3,-392.12199999999996,101.39200000000001,1235.52,-403.905,-62.3897,1216.67,-385.311,-192.118,1199.79,-321.54900000000004,-382.098,1182.53,-337.874,-355.69599999999997,1215.67,-353.3,-339.026,1346.15,-354.983,-191.736,1555.55,-145.55,-195.428,1603.47,-94.8222,-222.89,1671.52,-21.4086,-235.718,1738.36,-66.074,-236.43200000000002,1680.44,-328.13,-346.31,1154.81,-307.531,-302.33,1043.07,-248.38099999999997,-48.678000000000004,1057.56,-95.9187,-72.4349,1210.99,-19.8358,-86.2858,1267.96,70.0551,-82.6247,1307.81,-4.75828,-132.47299999999998,1267.93,-386.293,91.3432,1319.19,-51.3129,212.493,1422.49,-238.495,501.994,1340.08,-158.94,644.937,1282.1,-397.379,110.454,1160.07,-100.47,264.427,1000.69,-253.22099999999998,546.82,1159.49,-200.122,693.6519999999999,1126.03,-286.269,-448.93199999999996,1178.55,-157.35,-465.336,1251.16,-195.87599999999998,-497.665,1263.8,-313.187,-492.836,1260.84,-170.08,-501.99199999999996,1223.03,-242.328,-519.601,1127.09,1.3136598,-5.563312000000002,8.140383,2.8,-0.35,-1.96
17,2021-07-26 15:58:02.4,-392.829,98.04899999999999,1241.06,-404.315,-65.2063,1219.61,-386.856,-194.65599999999998,1200.88,-322.145,-383.918,1182.49,-338.847,-357.925,1215.68,-354.385,-343.499,1346.23,-354.80199999999996,-193.873,1553.54,-148.065,-193.592,1611.04,-91.0442,-223.215,1672.75,-14.8914,-236.701,1736.1,-78.1203,-234.25,1708.68,-328.655,-347.963,1155.07,-307.492,-302.631,1044.16,-248.84799999999998,-49.1989,1058.18,-94.6645,-67.9378,1210.15,-21.7313,-87.9482,1269.16,67.8533,-96.574,1308.61,-11.4029,-131.843,1268.5,-387.45300000000003,86.7078,1324.48,-52.4578,212.638,1419.9,-239.66299999999998,502.684,1341.64,-159.424,644.85,1283.4,-397.67699999999996,108.27600000000001,1165.84,-106.206,265.286,1000.66,-253.718,548.496,1161.84,-201.671,696.703,1134.35,-286.567,-450.459,1178.21,-154.93,-472.207,1243.79,-193.365,-504.403,1256.75,-310.42,-497.548,1259.53,-169.59799999999998,-507.288,1214.72,-246.41099999999997,-519.328,1121.72,1.3375877,-5.465207,7.910671000000002,18.34,0.77,-5.7400002
18,2021-07-26 15:58:02.7,-392.774,98.0207,1241.14,-404.23800000000006,-65.2894,1219.76,-386.708,-194.77200000000002,1201.09,-321.83099999999996,-384.037,1182.72,-338.57099999999997,-358.048,1215.91,-353.967,-343.724,1346.52,-353.681,-194.255,1554.03,-146.689,-194.486,1610.82,-88.2271,-224.5,1671.01,-10.021,-236.477,1732.16,-70.51100000000001,-234.704,1701.88,-328.358,-348.077,1155.29,-307.117,-302.58,1044.43,-248.52,-49.0576,1058.28,-94.9844,-67.2946,1211.05,-22.6974,-86.6072,1271.12,66.4105,-94.62700000000001,1311.82,-12.1439,-129.57399999999998,1271.4,-387.397,86.7164,1324.59,-52.3122,212.75599999999997,1419.93,-239.627,502.726,1341.23,-159.349,644.6469999999999,1282.31,-397.62300000000005,108.214,1165.89,-106.26,265.131,1000.22,-253.666,548.557,1161.33,-201.327,696.547,1133.0,-286.192,-450.56800000000004,1178.46,-155.856,-474.458,1245.95,-194.803,-506.48699999999997,1257.8,-311.853,-498.594,1258.7,-170.34400000000002,-508.99699999999996,1216.12,-245.687,-519.016,1121.65,1.5553347,-5.2953167,8.23131,-20.23,-2.8,0.42000002
19,2021-07-26 15:58:02.8,-392.38199999999995,98.6463,1239.52,-404.01800000000003,-64.5314,1218.59,-386.711,-193.949,1200.25,-322.252,-383.105,1181.64,-338.876,-357.14300000000003,1214.85,-353.925,-344.41,1345.52,-357.264,-195.157,1552.82,-149.779,-191.763,1606.78,-97.7727,-224.263,1671.3,-26.2257,-237.275,1739.79,-67.0878,-236.142,1677.66,-328.756,-347.15,1154.29,-308.622,-300.698,1043.75,-248.75400000000002,-47.8374,1058.97,-94.5969,-68.8774,1210.42,-23.3315,-85.7212,1272.26,64.5513,-89.3196,1315.9,-11.2313,-128.839,1273.72,-386.949,87.561,1322.91,-52.0585,212.179,1419.26,-239.162,501.27099999999996,1338.55,-159.18200000000002,644.1709999999999,1282.19,-397.282,108.64200000000001,1164.33,-105.36,264.029,999.085,-253.38099999999997,546.939,1159.69,-200.43,694.039,1128.92,-286.77,-449.62199999999996,1177.27,-156.474,-478.027,1242.72,-195.488,-510.5,1252.75,-312.372,-502.173,1254.52,-171.197,-510.63,1210.97,-246.798,-514.6709999999999,1116.42,1.5672989,-6.1423760000000005,7.685746000000001,-14.63,1.47,-1.26
20,2021-07-26 15:58:03.9,-391.765,99.1003,1239.78,-403.407,-64.4682,1218.95,-386.17,-194.209,1200.69,-321.939,-383.908,1181.91,-338.439,-357.843,1215.24,-352.528,-345.434,1346.35,-353.89099999999996,-196.56400000000002,1554.66,-145.47,-193.66,1606.95,-88.5413,-228.696,1666.04,-11.8939,-244.257,1728.54,-58.5383,-228.02,1678.94,-328.49800000000005,-347.876,1154.5,-308.905,-300.975,1043.76,-248.91099999999997,-47.5585,1059.31,-93.7727,-69.2652,1210.37,-22.6621,-86.5503,1272.6,65.2468,-90.699,1316.64,-10.6175,-128.222,1274.51,-386.272,88.0669,1323.36,-50.9487,212.791,1421.28,-238.45,502.358,1339.68,-158.65200000000002,645.69,1282.96,-396.718,109.05,1164.41,-103.89399999999999,264.897,999.319,-252.516,548.964,1159.13,-199.373,696.24,1127.67,-286.5,-450.635,1177.44,-152.535,-480.48900000000003,1235.14,-191.541,-511.98699999999997,1248.4,-308.144,-501.13599999999997,1257.49,-169.956,-513.5,1205.06,-251.752,-517.914,1115.47,1.1964114,-5.5657053,8.094919,0.28,1.19,0.42000002
21,2021-07-26 15:58:03.1,-391.92400000000004,99.1404,1239.96,-403.60900000000004,-64.4184,1219.04,-386.535,-194.175,1200.7,-322.719,-383.98400000000004,1181.56,-339.119,-357.931,1214.95,-352.985,-345.68199999999996,1346.11,-353.774,-197.108,1554.64,-145.333,-194.511,1606.89,-88.0501,-229.83,1665.47,-11.0064,-245.704,1727.41,-57.5443,-230.32,1676.87,-329.24199999999996,-347.9,1154.2,-309.725,-300.798,1043.53,-249.2,-47.5267,1059.53,-93.8859,-69.8157,1210.34,-22.7841,-87.2993,1272.53,65.1331,-91.6627,1316.53,-10.8456,-128.92,1274.48,-386.404,88.0538,1323.54,-51.0825,212.666,1421.66,-238.67,502.21,1340.13,-158.939,645.523,1283.24,-396.903,109.13799999999999,1164.6,-104.175,265.37,999.676,-252.972,549.113,1159.92,-200.15599999999998,696.712,1129.42,-287.422,-450.78,1176.95,-149.293,-480.51199999999994,1223.9,-187.176,-511.754,1240.59,-302.63599999999997,-500.43300000000005,1258.98,-169.175,-513.757,1195.66,-257.974,-518.7719999999999,1113.03,1.605584,-5.1780677000000015,8.169096000000001,-0.49,1.47,0.63
22,2021-07-26 15:58:03.2,-391.834,102.256,1243.09,-403.664,-61.4307,1224.27,-384.406,-191.013,1207.61,-325.748,-382.20599999999996,1187.24,-341.111,-355.86800000000005,1220.86,-351.035,-346.129,1352.49,-345.295,-190.6,1555.59,-140.505,-196.1,1620.01,-84.5092,-228.513,1681.36,-8.881160000000001,-241.30200000000002,1745.6,-58.5114,-232.93599999999998,1700.54,-331.62,-345.902,1160.09,-316.194,-300.718,1048.07,-250.09799999999998,-48.8148,1060.19,-93.2765,-69.7947,1209.4,-23.0837,-87.068,1272.57,63.87,-90.0323,1318.41,-11.5331,-128.46200000000002,1276.52,-386.684,92.2617,1326.77,-49.3224,212.483,1422.36,-237.456,500.86300000000006,1339.06,-159.22899999999998,644.625,1281.59,-396.478,111.26899999999999,1167.64,-103.679,263.23400000000004,999.465,-253.644,546.189,1159.46,-199.713,692.7869999999999,1126.74,-292.259,-449.82599999999996,1182.06,-149.28,-483.316,1158.13,-173.71,-509.44699999999995,1195.63,-264.397,-487.722,1266.92,-180.611,-518.262,1148.53,-298.76099999999997,-527.071,1122.45,1.4045868,-5.563312000000002,8.279166,-16.59,4.13,1.96
